id;language_code;display_language_code;name
1016;fa;ca;Persian
1017;fa;cs;Perský
1018;fa;sk;Perzština
1019;fa;cy;Persian
1020;fa;da;Persian
1021;fa;el;Περσικος
1022;fa;eo;Persian
1023;fa;et;Persian
1024;fa;eu;Persian
1025;fa;fa;فارسی
1026;fa;fi;persia
1027;fa;ga;Persian
1028;fa;he;פרסית
1029;fa;hi;Persian
1030;fa;hr;Perzijski
1031;fa;hu;perzsa
1032;fa;hy;Persian
1033;fa;id;Persian
1034;fa;is;Persian
1035;fa;it;Persiano
1036;fa;ja;ペルシア語
1037;fa;ko;페르시아어
1038;fa;ku;Persian
1039;fa;la;Persian
1040;fa;lv;Persian
1041;fa;lt;Persian
1042;fa;mk;Persian
1043;fa;mt;Persian
1044;fa;mn;Persian
1045;fa;ne;Persian
1046;fa;nl;Perzisch
1047;fa;nb;Persisk
1048;fa;pa;Persian
1049;fa;pl;perski
1050;fa;pt-pt;Persa
1051;fa;pt-br;Persa
1052;fa;qu;Persian
1053;fa;ro;Persană
1054;fa;ru;Персидский
1055;fa;sl;Perzijski
1056;fa;so;Persian
1057;fa;sq;Persian
1058;fa;sr;персијски
1059;fa;sv;Persiska
1060;fa;ta;Persian
1061;fa;th;เปอร์เซียน
1062;fa;tr;Farsça
1063;fa;uk;Persian
1064;fa;ur;Persian
1065;fa;uz;Persian
1066;fa;vi;Persian
1067;fa;yi;Persian
1068;fa;zh-hans;波斯语
1069;fa;zu;Persian
1070;fa;zh-hant;波斯語
1071;fa;ms;Persian
1072;fi;en;Finnish
1073;fi;es;Finlandés
1074;fi;de;Finnisch
1075;fi;fr;Finnois
1076;fi;ar;الفنلندية
1077;fi;bs;Finnish
1078;fi;bg;Фински
1079;fi;ca;Finnish
1080;fi;cs;Finský
1081;fi;sk;Fínština
1082;fi;cy;Finnish
1083;fi;da;Finnish
1084;fi;el;Φινλανδικη
1085;fi;eo;Finnish
1086;fi;et;Finnish
1087;fi;eu;Finnish
1088;fi;fa;Finnish
1089;fi;fi;Suomi
1090;fi;ga;Finnish
1091;fi;he;פינית
1092;fi;hi;Finnish
1093;fi;hr;Finski
1094;fi;hu;finn
1095;fi;hy;Finnish
1096;fi;id;Finnish
1097;fi;is;Finnish
1098;fi;it;Finlandese
